WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
crowded                  5     3     7     7    10   328   198     2     2   187       2
that                   -99     0     0     0     0   329     0     0     0     0       0
a                      -99     0     0     0     0   330     0     0     0     0       0
giant                    5     3     5     5    25   331   193     2     2   188       7
yellow                   5     3     6     6    34   332   166     5     5   189       4
light                  -99     0     0     0     0   333     0     0     0     0       0
flashes                  5     3     7     7    43   334   242     1     1   190       2
and                    -99     0     0     0     0   335     0     0     0     0       0
a                      -99     0     0     0     0   336     0     0     0     0       0
siren                    5     3     5     5    58   337   332     2     2   191       2
wails                  -99     0     0     0     0   338     0     0     0     0       0
with                     5     3     4     4    70   339   191     2     2   192     393
with                     5     3     4     4    72   339    68     4     4   193     393
the                    -99     0     0     0     0   340     0     0     0     0       0
sort                   -99     0     0     0     0   341     0     0     0     0       0
of                     -99     0     0     0     0   342     0     0     0     0       0
noise                  -99     0     0     0     0   343     0     0     0     0       0
you'd                  -99     0     0     0     0   344     0     0     0     0       0
expect                   5     4     6     6    20   345   219     0     0   197       6
to                     -99     0     0     0     0   346     0     0     0     0       0
hear                   -99     0     0     0     0   347     0     0     0     0       0
if                       5     4     2     2    36   348   239     1     1   198     150
aliens                 -99     0     0     0     0   349     0     0     0     0       0
invaded.                 5     4     8     7    45   350   110     0     0   199       1
Then                   -99     0     0     0     0   351     0     0     0     0       0
a                        5     4     1     1    59   352   149     0     0   201    1434
huge                     5     4     4     4    61   353   116     0     0   200      14
metal                    5     4     5     5    70   354   278     4     4   202       2
shutter                  5     4     7     7    77   355   169     5     5   203       1
is                     -99     0     0     0     0   356     0     0     0     0       0
drawn                    5     5     5     5     3   357    67     0     0   205       4
drawn                    5     5     5     5     3   357   150     0     0   206       4
across                   5     5     6     6    13   358   256     4     4   207      28
the                    -99     0     0     0     0   359     0     0     0     0       0
entrance                 5     5     8     8    24   360   205     4     4   208       3
to                     -99     0     0     0     0   361     0     0     0     0       0
stop                   -99     0     0     0     0   362     0     0     0     0       0
anyone                   5     5     6     6    38   363   292     1     1   209       9
getting                  5     5     7     7    50   364   237     6     6   210      23
in,                    -99     0     0     0     0   365     0     0     0     0       0
for                    -99     0     0     0     0   366     0     0     0     0       0
up                       5     5     2     2    60   367   267     0     0   211     135
up                       5     5     2     2    60   367    18     0     0   213     135
to                     -99     0     0     0     0   368     0     0     0     0       0
20                     -99     0     0     0     0   369     0     0     0     0       0
minutes,                 5     5     8     7    69   370   188     0     0   212       8
and                      6     1     3     3     0   371   179     0     0   214    1283
a                      -99     0     0     0     0   372     0     0     0     0       0
crowd                    6     1     5     5     9   373   169     3     3   215       3
of                     -99     0     0     0     0   374     0     0     0     0       0
several                  6     1     7     7    21   375   220     6     6   216      14
hundred                  6     1     7     7    30   376   207     7     7   217       4
builds                 -99     0     0     0     0   377     0     0     0     0       0
up.                      6     1     3     2    38   378   162     0     0   218     135
One                    -99     0     0     0     0   379     0     0     0     0       0
morning                  6     1     7     7    56   380   214     6     6   219      17
morning                  6     1     7     7    53   380   259     3     3   220      17
someone                  6     1     7     7    65   381   194     7     7   221      13
lost                   -99     0     0     0     0   382     0     0     0     0       0
it,                      6     1     3     2    72   383   153     1     1   222     544
as                       6     1     2     2    77   384   198     2     2   223     422
if                     -99     0     0     0     0   385     0     0     0     0       0
it                     -99     0     0     0     0   386     0     0     0     0       0
was                    -99     0     0     0     0   387     0     0     0     0       0
a                      -99     0     0     0     0   388     0     0     0     0       0
trench                 -99     0     0     0     0   389     0     0     0     0       0
in                     -99     0     0     0     0   390     0     0     0     0       0
the                    -99     0     0     0     0   391     0     0     0     0       0
First                  -99     0     0     0     0   392     0     0     0     0       0
World                    6     2     5     5    29   393   187     0     0   225      60
War,                   -99     0     0     0     0   394     0     0     0     0       0
and                    -99     0     0     0     0   395     0     0     0     0       0
yelled                 -99     0     0     0     0   396     0     0     0     0       0
'That's                  6     2     7     6    51   397   298     0    -1   226     -99
it,                      6     2     3     2    60   398   220     1     1   227     544
I'm                    -99     0     0     0     0   399     0     0     0     0       0
going                    6     2     5     5    70   400   196     3     3   228      39
in!'                   -99     0     0     0     0   401     0     0     0     0       0
and                    -99     0     0     0     0   402     0     0     0     0       0
squeezed               -99     0     0     0     0   403     0     0     0     0       0
round                  -99     0     0     0     0   404     0     0     0     0       0
the                      6     3     3     3    20   405   199     1     1   229    3511
gap                    -99     0     0     0     0   406     0     0     0     0       0
to                       6     3     2     2    29   407   146     2     2   230    1597
charge                 -99     0     0     0     0   408     0     0     0     0       0
through                  6     3     7     7    37   409   182     0     0   231      40
a                      -99     0     0     0     0   410     0     0     0     0       0
line                     6     3     4     4    51   411   315     4     4   232       5
of                     -99     0     0     0     0   412     0     0     0     0       0
security                 6     3     8     8    60   413   228     5     5   233       6
guards                 -99     0     0     0     0   414     0     0     0     0       0
and                    -99     0     0     0     0   415     0     0     0     0       0
make                     6     3     4     4    76   416   181     1     1   234      60
a                      -99     0     0     0     0   417     0     0     0     0       0
break                  -99     0     0     0     0   418     0     0     0     0       0
for                    -99     0     0     0     0   419     0     0     0     0       0
it.                      6     4     3     2    13   420   103     1     1   236     544
It                     -99     0     0     0     0   421     0     0     0     0       0
felt                     6     4     4     4    27   422   261     4     4   237       9
like                   -99     0     0     0     0   423     0     0     0     0       0
the                    -99     0     0     0     0   424     0     0     0     0       0
rest                     6     4     4     4    40   425   225     3     3   238      14
of                     -99     0     0     0     0   426     0     0     0     0       0
us                     -99     0     0     0     0   427     0     0     0     0       0
should                   6     4     6     6    51   428   206     3     3   239      88
shout,                   6     4     6     5    59   429   184     4     4   240       1
'Oh                    -99     0     0     0     0   430     0     0     0     0       0
my                     -99     0     0     0     0   431     0     0     0     0       0
God,                     6     4     4     3    69   432   171     0     0   241      12
Tommy's                -99     0     0     0     0   433     0     0     0     0       0
cracked,'                6     5     9     7    13   434   203     5     5   243       1
and                    -99     0     0     0     0   435     0     0     0     0       0
'The                   -99     0     0     0     0   436     0     0     0     0       0
fool,                    6     5     5     4    28   437   267     1     1   244       3
he's                   -99     0     0     0     0   438     0     0     0     0       0
going                    6     5     5     5    40   439   228     2     2   245      39
over                   -99     0     0     0     0   440     0     0     0     0       0
the                      6     5     3     3    52   441   195     3     3   246    3511
top!'                  -99     0     0     0     0   442     0     0     0     0       0
Instead                  6     5     7     7    65   443   275     6     6   247      19
it                     -99     0     0     0     0   444     0     0     0     0       0
was                      6     5     3     3    73   445   266     3     3   248     383
more                   -99     0     0     0     0   446     0     0     0     0       0
like                     7     1     4     4     1   447   153     1     1   263      99
Invasion                 7     1     8     8     7   448   218     2     2   264       4
of                     -99     0     0     0     0   449     0     0     0     0       0
the                    -99     0     0     0     0   450     0     0     0     0       0
Body                     7     1     4     4    24   451   293     3     3   265      12
Snatchers,               7     1    10     9    31   452   158     5     5   266       1
with                   -99     0     0     0     0   453     0     0     0     0       0
the                    -99     0     0     0     0   454     0     0     0     0       0
rest                     7     1     4     4    47   455   280     1     1   267      14
of                     -99     0     0     0     0   456     0     0     0     0       0
us                     -99     0     0     0     0   457     0     0     0     0       0
thinking                 7     1     8     8    62   458   254     5     5   268      10
'Don't                   7     1     6     5    71   459   241     5     4   269     -99
fight                  -99     0     0     0     0   460     0     0     0     0       0
it.                      7     2     3     2     3   461   205     3     3   270     544
Be                     -99     0     0     0     0   462     0     0     0     0       0
like                     7     2     4     4     9   463   379     2     2   271      99
us                     -99     0     0     0     0   464     0     0     0     0       0
and                    -99     0     0     0     0   465     0     0     0     0       0
accept                   7     2     6     6    23   466   158     4     4   272       7
it,                    -99     0     0     0     0   467     0     0     0     0       0
then                   -99     0     0     0     0   468     0     0     0     0       0
there's                  7     2     7     7    37   469   226     2     2   274     -99
no                     -99     0     0     0     0   470     0     0     0     0       0
more                     7     2     4     4    49   471   148     3     3   275     168
pain,                  -99     0     0     0     0   472     0     0     0     0       0
just                     7     2     4     4    60   473   136     3     3   276      75
a                      -99     0     0     0     0   474     0     0     0     0       0
numbness                 7     2     8     8    66   475   200     2     2   277       1
that's                   7     2     6     6    75   476   307     2     2   278     -99
quite                  -99     0     0     0     0   477     0     0     0     0       0
pleasant                 7     3     8     8    11   478   201     5     5   279       3
once                   -99     0     0     0     0   479     0     0     0     0       0
you're                   7     3     6     6    25   480   179     5     5   280     -99
you're                   7     3     6     6    21   480   182     1     1   281     -99
used                   -99     0     0     0     0   481     0     0     0     0       0
to                     -99     0     0     0     0   482     0     0     0     0       0
it.'                     7     3     4     2    35   483   166     0     0   282     544
And                    -99     0     0     0     0   484     0     0     0     0       0
that                     7     3     4     4    51   485   320     3     3   283     871
way                    -99     0     0     0     0   486     0     0     0     0       0
you                      7     3     3     3    59   487   214     2     2   284     179
become                   7     3     6     6    65   488   211     4     4   285      22
