WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
tiny                     4     3     4     4    22   249   204     3     3   195      13
by                       4     3     2     2    25   250   173     1     1   196     252
the                    -99     0     0     0     0   251     0     0     0     0       0
standards                4     3     9     9    31   252   228     0     0   197       9
standards                4     3     9     9    37   252   169     6     6   198       9
of                     -99     0     0     0     0   253     0     0     0     0       0
developed                4     3     9     9    49   254   190     5     5   199       4
countries                4     3     9     9    57   255   239     3     3   200      10
countries                4     3     9     9    54   255   156     0     0   202      10
but                      4     3     3     3    66   256   126     2     2   201     325
enormous                 4     3     8     8    70   257   256     2     2   203       3
enormous                 4     3     8     8    74   257    97     6     6   204       3
enormous                 4     3     8     8    76   257    68     8     8   205       3
by                     -99     0     0     0     0   258     0     0     0     0       0
the                    -99     0     0     0     0   259     0     0     0     0       0
standards                4     4     9     9    11   260    60     7     7   206       9
of                     -99     0     0     0     0   261     0     0     0     0       0
Afghanistan.             4     4    12    11    24   262   266     7     7   207       7
The                    -99     0     0     0     0   263     0     0     0     0       0
whole                    4     4     5     5    35   264   165     1     1   208      12
$4.5bn,                  4     4     7     5    40   265   132     0     0   209     -99
$4.5bn,                  4     4     7     5    43   265   187     3     3   210     -99
$4.5bn,                  4     4     7     5    45   265   141     5     5   211     -99
of                     -99     0     0     0     0   266     0     0     0     0       0
which                    4     4     5     5    54   267   229     3     3   212     152
the                    -99     0     0     0     0   268     0     0     0     0       0
UK's                     4     4     4     4    62   269   174     1     1   213     -99
share                    4     4     5     5    67   270   201     1     1   214       5
share                    4     4     5     5    68   270    92     2     2   215       5
is                       4     4     2     2    72   271    85     0     0   216     717
$288m,                   4     5     6     5     6   272   521     6     6   217       2
is                     -99     0     0     0     0   273     0     0     0     0       0
less                     4     5     4     4    13   274   184     3     3   218      27
than                   -99     0     0     0     0   275     0     0     0     0       0
the                    -99     0     0     0     0   276     0     0     0     0       0
British                  4     5     7     7    25   277   154     1     1   219      77
British                  4     5     7     7    31   277    68     7     7   220      77
taxpayer                 4     5     8     8    36   278   182     4     4   221       2
spent                    4     5     5     5    44   279   180     3     3   222      15
last                     4     5     4     4    51   280   190     4     4   223      73
year                     4     5     4     4    55   281    70     3     3   224      51
in                     -99     0     0     0     0   282     0     0     0     0       0
eradicating              4     5    11    11    62   283   199     2     2   225       1
eradicating              4     5    11    11    70   283   182    10    10   226       1
eradicating              4     5    11    11    68   283   157     8     8   228       1
eradicating              4     5    11    11    64   283   410     4     4   229       1
eradicating              4     5    11    11    66   283   108     6     6   230       1
foot-                    4     5     5     5    74   284   141     2     2   227       1
and-mouth                5     1     9     9     6   285    90     6     6   231     -99
and-mouth                5     1     9     9     4   285   203     4     4   232     -99
disease.                 5     1     8     7    14   286   146     4     4   233       5
Put                    -99     0     0     0     0   287     0     0     0     0       0
another                  5     1     7     7    25   288   162     2     2   234      33
another                  5     1     7     7    28   288   116     5     5   235      33
way,                     5     1     4     3    34   289    75     3     3   236      58
we                     -99     0     0     0     0   290     0     0     0     0       0
spent                    5     1     5     5    42   291   189     3     3   237      15
four                   -99     0     0     0     0   292     0     0     0     0       0
times                    5     1     5     5    50   293   174     0     0   238      23
times                    5     1     5     5    53   293    64     3     3   239      23
as                     -99     0     0     0     0   294     0     0     0     0       0
much                     5     1     4     4    60   295   159     1     1   240      97
on                     -99     0     0     0     0   296     0     0     0     0       0
the                    -99     0     0     0     0   297     0     0     0     0       0
Dome                     5     1     4     4    72   298   196     1     1   241       2
as                       5     1     2     2    76   299   146     0     0   242     422
as                       5     1     2     2    78   299   101     2     2   243     422
we                     -99     0     0     0     0   300     0     0     0     0       0
are                    -99     0     0     0     0   301     0     0     0     0       0
spending                 5     2     8     8    12   302   116     5     5   244       6
on                     -99     0     0     0     0   303     0     0     0     0       0
Afghanistan.             5     2    12    11    25   304   177     6     6   245       7
But                    -99     0     0     0     0   305     0     0     0     0       0
relative                 5     2     8     8    41   306   122     1     1   247       6
relative                 5     2     8     8    43   306   132     3     3   248       6
relative                 5     2     8     8    48   306   191     8     8   249       6
to                     -99     0     0     0     0   307     0     0     0     0       0
the                      5     2     3     3    55   308   187     3     3   250    3511
Afghan                   5     2     6     6    59   309    79     3     3   251       1
economy,                 5     2     8     7    67   310   164     4     4   252      17
the                      5     2     3     3    74   311   100     2     2   253    3511
money                  -99     0     0     0     0   312     0     0     0     0       0
is                       5     3     2     2     8   313   149     2     2   254     717
big.                     5     3     4     3    13   314   149     4     4   255      21
There                  -99     0     0     0     0   315     0     0     0     0       0
are                      5     3     3     3    22   316   252     2     2   256     351
no                     -99     0     0     0     0   317     0     0     0     0       0
reliable                 5     3     8     8    31   318   198     4     4   257       2
reliable                 5     3     8     8    32   318   245     5     5   259       2
statistics               5     3    10    10    42   319   393     6     6   258       5
statistics               5     3    10    10    45   319    75     9     9   260       5
for                    -99     0     0     0     0   320     0     0     0     0       0
its                      5     3     3     3    54   321   182     3     3   261     152
GDP,                     5     3     4     3    57   322   155     2     2   262       4
but                    -99     0     0     0     0   323     0     0     0     0       0
it                       5     3     2     2    65   324   163     1     1   263     544
is                       5     3     2     2    67   325    72     0     0   264     717
probably                 5     3     8     8    75   326    94     5     5   265      12
about                  -99     0     0     0     0   327     0     0     0     0       0
$20bn                  -99     0     0     0     0   328     0     0     0     0       0
a                        5     4     1     1    12   329   231     0     0   266    1434
year.                    5     4     5     4    14   330   114     0     0   267      51
year.                    5     4     5     4    17   330    87     3     3   268      51
There                    5     4     5     5    24   331   100     4     4   270     189
are                    -99     0     0     0     0   332     0     0     0     0       0
some                     5     4     4     4    31   333   111     1     1   271      86
25                       5     4     2     2    36   334   142     1     1   272     -99
million                  5     4     7     7    40   335   158     2     2   273      11
people,                  5     4     7     6    50   336   236     4     4   274      90
but                      5     4     3     3    57   337   204     3     3   275     325
per                    -99     0     0     0     0   338     0     0     0     0       0
capita                   5     4     6     6    62   339   164     0     0   276       1
capita                   5     4     6     6    67   339    98     5     5   277       1
income                   5     4     6     6    74   340   176     5     5   278       5
is                       5     4     2     2    77   341    92     1     1   279     717
only                   -99     0     0     0     0   342     0     0     0     0       0
around                   5     5     6     6    10   343   144     5     5   280      31
$800,                  -99     0     0     0     0   344     0     0     0     0       0
20                       5     5     2     2    19   345   202     1     1   281     -99
20                       5     5     2     2    18   345   234     0     0   282     -99
per                      5     5     3     3    22   346   132     1     1   283      36
cent                     5     5     4     4    29   347   362     4     4   286      30
cent                     5     5     4     4    25   347   377     0     0   288      30
lower                    5     5     5     5    33   348   167     3     3   284       7
lower                    5     5     5     5    34   348    78     4     4   287       7
than                     5     5     4     4    40   349    94     4     4   285     123
than                     5     5     4     4    39   349   155     3     3   289     123
in                     -99     0     0     0     0   350     0     0     0     0       0
neighbouring             5     5    12    12    50   351   192     6     6   290       1
Tajikistan               5     5    10    10    60   352   192     3     3   291       1
Tajikistan               5     5    10    10    63   352   258     6     6   292       1
and                    -99     0     0     0     0   353     0     0     0     0       0
only                     5     5     4     4    73   354   150     1     1   293      97
only                     5     5     4     4    75   354   299     3     3   294      97
half                   -99     0     0     0     0   355     0     0     0     0       0
that                     6     1     4     4     6   356   211     1     1   295     871
of                     -99     0     0     0     0   357     0     0     0     0       0
Pakistan.                6     1     9     8    14   358   160     1     1   296       1
Pakistan.                6     1     9     8    20   358   188     7     7   297       1
So                     -99     0     0     0     0   359     0     0     0     0       0
the                    -99     0     0     0     0   360     0     0     0     0       0
aid                      6     1     3     3    30   361   187     0     0   298       4
flow                     6     1     4     4    35   362   170     1     1   299       2
will                     6     1     4     4    39   363    59     0     0   300     210
be                       6     1     2     2    45   364   142     1     1   302     423
more                     6     1     4     4    51   365   133     4     4   303     168
than                   -99     0     0     0     0   366     0     0     0     0       0
5                        6     1     1     1    57   367   188     0     0   304     -99
per                    -99     0     0     0     0   368     0     0     0     0       0
cent                     6     1     4     4    66   369   185     3     3   305      30
of                     -99     0     0     0     0   370     0     0     0     0       0
GDP                      6     1     3     3    72   371    59     1     1   306       4
GDP                      6     1     3     3    74   371   211     3     3   307       4
per                      6     1     3     3    76   372    77     1     1   308      36
annum                  -99     0     0     0     0   373     0     0     0     0       0
-                      -99     0     0     0     0   374     0     0     0     0       0
and                      6     2     3     3     9   375   265     1     1   309    1283
a                      -99     0     0     0     0   376     0     0     0     0       0
lot                      6     2     3     3    16   377   161     2     2   310      15
more                     6     2     4     4    21   378   193     3     3   311     168
in                       6     2     2     2    25   379   189     2     2   312    1091
the                    -99     0     0     0     0   380     0     0     0     0       0
first                    6     2     5     5    32   381   146     2     2   313      87
year.                    6     2     5     4    36   382    95     0     0   314      51
year.                    6     2     5     4    41   382   155     5     5   315      51
That                   -99     0     0     0     0   383     0     0     0     0       0
ought                    6     2     5     5    50   384   177     3     3   316       6
to                     -99     0     0     0     0   385     0     0     0     0       0
be                       6     2     2     2    56   386   171     0     0   317     423
enough                   6     2     6     6    62   387   150     3     3   318      32
to                     -99     0     0     0     0   388     0     0     0     0       0
make                     6     2     4     4    71   389   178     2     2   319      60
a                      -99     0     0     0     0   390     0     0     0     0       0
material               -99     0     0     0     0   391     0     0     0     0       0
