WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
revival                  5     4     7     7    54   317   236     4     4   -11       2
serious                  5     4     7     7    68   320   236     3     3   -14      11
play.                    5     4     5     4    75   321    86     2     2    -7       5
better,                  5     5     7     6     7   323   174     2     2   -99      26
most                     5     5     4     4    17   324   242     4     4   -10      93
them                     5     5     4     4    24   326   182     3     3    -7      80
are                      5     5     3     3    28   327   204     2     2    -4     351
Audiences                5     5     9     9    40   329   285     5     5   -12       4
knocking                 5     5     8     8    50   331   193     1     1   -10       1
of                       5     5     2     2    20   325   202     2     2    30    1757
most                     5     5     4     4    17   324   182     4     4     3      93
Audiences                5     5     9     9    42   329   163     7     7   -25       4
are                      5     5     3     3    26   327   224     0     0    16     351
are                      5     5     3     3    27   327   118     1     1    -1     351
new.                     5     5     4     3    31   328   173     1     1    -4      93
Audiences                5     5     9     9    41   329   217     6     6   -10       4
knocking                 5     5     8     8    51   331   211     2     2   -10       1
each                     5     5     4     4    62   332   430     4     4   -11      16
knocking                 5     5     8     8    52   331   156     3     3    10       1
knocking                 5     5     8     8    55   331   112     6     6    -3       1
other                    5     5     5     5    63   333   218     0     0    -8      78
other                    5     5     5     5    67   333   125     4     4    -4      78
over                     5     5     4     4    73   334   207     4     4    -6      76
*Off-screen              5   -99     4     4   -99   -99   222   -99   -99   -99     -99
tickets                  6     1     7     7     5   337   179     0     0     0       1
tickets                  6     1     7     7    10   337   201     5     5    -5       1
the                      6     1     3     3    19   339    86     2     2    -9    3511
likes                    6     1     5     5    25   340   152     4     4    -6       6
of                       6     1     2     2    28   341    71     1     1    -3    1757
Humble                   6     1     6     6    34   342   212     4     4    -6       2
Boy,                     6     1     4     3    40   343   180     3     3    -6       2
Lieutenant               6     1    10    10    51   345   193     5     5   -11       1
Inishmore                6     1     9     9    64   347   188     4     4   -13       1
Inishmore                6     1     9     9    66   347   137     6     6    -2       1
and                      6     1     3     3    72   348   123     2     2    -6    1283
*Off-screen              6   -99     3     3   -99   -99   121   -99   -99   -99     -99
used                     6     2     4     4    27   352   199     0     0   -99      32
Producers                6     2     9     9    25   351   483     8     8     2       3
Producers                6     2     9     9    26   351   148     9     9    -1       3
to                       6     2     2     2    33   353   170     1     1    -7    1597
there                    6     2     5     5    40   355   186     1     1    -7     189
to                       6     2     2     2    32   353   207     0     0     8    1597
was                      6     2     3     3    46   356   229     1     1   -14     383
point                    6     2     5     5    52   358   196     0     0    -6      26
experimenting            6     2    13    13    65   360   205     4     4   -13       1
with                     6     2     4     4    78   361   211     3     3   -13     393
