WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
permissible              3     4    11    11    24   171    93     5     5    -2       1
for                      3     4     3     3    32   172    58     1     1    -8     519
for                      3     4     3     3    32   172    63     1     1     0     519
for                      3     4     3     3    31   172    71     0     0     1     519
permissible              3     4    11    11    28   171   180     9     9     3       1
Those                    3     4     5     5    46   175   176     0     0   -18      59
time.                    3     4     5     4    41   174    58     1     1     5     105
eugenics                 3     5     8     8    37   186    69     2     2   -99       1
eugenics                 3     5     8     8    40   186   177     5     5    -3       1
who                      3     4     3     3    54   176    65     2     2   -99     157
who                      3     4     3     3    54   176    51     2     2     0     157
misplaced                3     5     9     9    60   189   122     0     0   -99       1
oppose                   3     4     6     6    61   177    95     5     5   -99       1
who                      3     4     3     3    54   176   137     2     2     7     157
have                     3     5     4     4    56   188   161     1     1   -99     361
the                      3     4     3     3    64   178   326     1     1   -99    3511
the                      3     4     3     3    64   178    63     1     1     0    3511
treatment                3     4     9     9    73   179   240     6     6    -9       6
treatment                3     4     9     9    68   179    57     1     1     5       6
a                        3     5     1     1    77    67   101     0     0   -99    1434
*Off-screen              3   -99     1     1   -99   -99   121   -99   -99   -99     -99
grounds                  3     5     7     7     5   181   212     5     5   -99       2
echoes                   3     5     6     6    19   184   156     3     3   -14       1
echoes                   3     5     6     6    17   184    81     1     1     2       1
destructive              3     5    11    11    25   185   245     2     2    -8       2
destructive              3     5    11    11    31   185   297     8     8    -6       2
destructive              3     5    11    11    23   185   197     0     0     8       2
eugenics                 3     5     8     8    41   186   105     6     6   -18       1
programmes               3     5    10    10    48   187   146     4     4    -7      10
have                     3     5     4     4    58   188   189     3     3   -10     361
misplaced                3     5     9     9    65   189   246     5     5    -7       1
misplaced                3     5     9     9    68   189   138     8     8    -3       1
from                     3     5     4     4    76    66   298     4     4    -8     248
concern.                 4     1     8     7     2   191   222     2     2     0       4
The                      4     1     3     3     9   192   158     0     0    -7    3511
of                       4     1     2     2    17   194    73     0     0    -8    1757
of                       4     1     2     2    19   194   200     2     2    -2    1757
techniques               4     1    10    10    31   196   109     6     6   -12       1
techniques               4     1    10    10    29   196   134     4     4     2       1
techniques               4     1    10    10    35   196   212    10    10    -6       1
weed                     4     1     4     4    43   198   252     4     4    -8       1
weed                     4     1     4     4    41   198    67     2     2     2       1
*Blink                   4   -99     4     4   -99   -99   112   -99   -99   -99     -99
out                      4     1     3     3    46   199   104     2     2   -99     113
genes                    4     1     5     5    51   200   114     3     3    -5       2
genes                    4     1     5     5    51   200   120     3     3     0       2
that                     4     1     4     4    54   201   199     0     0    -3     871
might                    4     1     5     5    61   202   291     2     2    -7      56
result                   4     1     6     6    67   203   186     2     2    -6      14
a                        4     1     1     1    76   205    95     1     1    -9    1434
*Off-screen              4   -99     1     1   -99   -99   189   -99   -99   -99     -99
disability               4     2    10    10     4   206   136     4     4   -99       1
does                     4     2     4     4    11   207   227     0     0    -7      45
suggest                  4     2     7     7    20   209   114     0     0    -9      11
chance                   4     5     6     6    25   250    58     0     0   -99      11
that                     4     2     4     4    30   210   148     2     2   -99     871
disabled                 4     2     8     8    39   211   190     6     6    -9       2
disabled                 4     2     8     8    36   211   182     3     3     3       2
disabled                 4     2     8     8    41   211   233     8     8    -5       2
disabled                 4     2     8     8    38   211   150     5     5     3       2
are                      4     2     3     3    49   213   271     0     0   -11     351
are                      4     2     3     3    51   213   185     2     2    -2     351
'defective'.             4     2    12     9    56   214   198     3     2    -5       1
'defective'.             4     2    12     9    61   214   268     8     7    -5       1
uses                     4     2     4     4    80   217   100     4     4   -19       6
It                       4     2     2     2    67   215   209     1     1    13     544
*Off-screen              4   -99     2     2   -99   -99   175   -99   -99   -99     -99
progress                 4     3     8     8     6   218   112     6     6   -99       8
progress                 4     3     8     8     3   218   122     3     3     3       8
a                        4     3     1     1    21   221    63     1     1   -18    1434
a                        4     3     1     1    21   221    96     1     1     0    1434
